iteration	commit	metric	status	description
0	dd51ef7	-	setup	#0 diagnostic set (12 probes, before/after instrument)
baseline	364b9f0	0.875	baseline	#18 before: 7/8 passk, hidden_menu FAILS, renamed costs 14 calls, false_success=0, 170 calls/$0.71
1	9b90802	1.000	keep	#3a wide-observe-before-giveup (rework): diag 0.875->1.0 (hidden_menu fixed), renamed 14->6 calls, false_success 0, total 170->146 calls, gate green, G2/G3 pass
2	b377c8b	n/a	keep	#4b caller-criterion finish gate (production-only, eval-clean): gate 220 green, wiring test locks it, harness never passes it. Verified by gate+trace; live amazon replay deferred
3	4b63eb3	1.000	keep	#2 ambiguous/absent + #4a discriminating-verify + #1 stagnation-nudge: pass^k stays 1.0, false_success 0 (G3 holds, no abstain bleed), 150 calls (G2 ok), gate 220 green
4	sealed	1.000	sealed	once-only held-out: 4/4 pass^k, false_success 0, $0.14 — mechanism generalizes to unseen same-class perturbations (renamed/hidden/decoy/synonym), not memorized pages
deleak	2be2364	1.000	keep	de-leak prompt: removed eval answer-keys from #3a (Go/Search/Menu/More) + #4a (/wiki/Oxygen, library/json) prompt examples. De-leaked diag still pass^k=1.0 (renamed/hidden/synonym pass), false_success 0 — it was the mechanism, not the hint. Offline 220 green
R2-live	7716ad8	pass^3=3/3	keep	live-driven round 2 (grounding): same-destination collapse in locate — duplicate same-href links ('periodic table' x2 -> /wiki/Periodic_table) were false-ambiguous, cascade fell to a 'table'-containing decoy. periodic_table_nav 0/1 (24-step wander) -> pass^3 3/3 (15-17 steps). Reproduced deterministically; offline 227 green (+6 cases). Remaining live ceiling: vat_rates wrong-page silent (a-priori-verify dead-end, not chased)
R3-setup	1357e43	-	setup	round-3 reference-mechanism experiment: new mechanisms.yaml + passk_mech runner + ANTI-CHEAT-GATE. First probe draft REJECTED by independent audit (G-INDEP); revised. Baseline: ① same-name multiplicity is a REAL gap (0/3, ~25-step wander), ② coverage G-NULL (agent routes around), ③④ dropped (covered by #4a / round-2 fix)
R3-①	9dcd298	passk=3/3	keep	① stable-ID grounding (indexed observe: no dedup + data-aid + ctx; click/fill by index). mechanisms.yaml family A 0/3->3/3, false_success 0, avg calls 21->6.7. offline 227 green; G-LEAK clean; G-INDEP APPROVE (2 nits fixed); G-LIVE 6/6 (no live regression). ROBUSTNESS-ONLY: same-name multiplicity (lists/tables) absent from our nav/retrieval live set -> no live-headline payoff
